,user_embed
10,"0.26788417862690656,0.5291257055322188,0.46761195502531056,0.05699924678891997,0.45318614084404546,0.377593635820411,0.20788635855941912,0.1526912716503681,0.7495811087030713,0.6183803775767345,0.3373390117226653,0.23661071508836118,0.35029474694556484,0.035665005579808146,0.17004942463757639,0.08815688227292183,0.3524557498342524,0.5299035903461178,0.13413072401078752,0.6688412558774445,0.4605295702616794,0.06852651348096324,-0.21648358662244915,0.4603099816761442,0.24553313674391739"
11,"0.6183961932215452,0.4059721386020924,0.262681083196799,0.351321266279008,0.3531555066181402,0.3536631996654176,0.14056621225983595,0.15628886278415238,0.3850375520512173,0.21537985323383188,0.15301779838928398,0.19945585408991995,0.3711733399505432,0.2514804388494938,0.1611243273579711,0.49287287319971934,0.3333330952527361,0.3109935244812433,0.4741166227868418,0.3984426399864413,0.36954215111288474,0.6265310638505956,0.5172596631367802,0.381064682784659,0.4795808143851724"
12,"0.25992539988685825,0.43671923902193355,0.531009462429086,0.3038536153226072,0.34627800026916794,0.21850497077036715,0.5419571979957202,0.42299725095425245,0.43642607997976984,0.6462414897071069,0.4099128862410064,0.43236117287754433,0.37986257754897873,0.5674653296361729,0.6459944140342223,0.5363586725582181,0.417695212237025,0.222866982223325,0.248400227237114,0.20287107144729088,0.6788431073717683,0.5515766029834857,0.6173880955571203,0.15665887487557886,0.29161462745397854"
13,"0.2648349464572793,0.43847357198680925,0.5301743595996862,0.308932339165679,0.34514371525636917,0.21647930800324716,0.5447159977109547,0.4236954568634012,0.4403504500791526,0.6427486165987119,0.40975570845263304,0.433322738889278,0.3834913932956176,0.5627981221059182,0.6435046578026378,0.5381473841660637,0.4213866827211731,0.22172202739348373,0.2490127537639244,0.2058975982273928,0.6772889294070602,0.545542160762302,0.6165866075066552,0.15605451886305388,0.2944574369684133"
14,"0.30190738323890187,0.18069867638751244,0.31688781537447896,0.32572417673896015,0.3790914549122901,0.3992554602944952,0.4836631870268861,0.6100262135017256,0.3590128803655927,0.3240722004438548,0.1664406487761244,0.2524542869678469,0.4772369076130639,0.2626336841754201,0.2516267116399996,0.21611894782866334,0.3885267250561487,0.5711935989027599,0.5614774377628176,0.6445364302279486,0.15875354262466201,0.25208429826386675,0.3498204531571709,0.3506372892555923,0.10510847997931533"
15,"0.18557673164121913,0.2243733691803145,0.08541687103976597,0.23191091104539516,0.5151984642582442,0.32543333272610925,0.17227594246339933,0.35043565502261753,0.27023389823017646,0.48053916630453736,0.38796380775598754,0.3086838568943551,0.46342052463353034,0.15716207843145627,0.08198152846822648,0.13547443220172456,0.5259012939419703,0.25807264178706735,0.3416397009625765,0.30714356348120553,0.49993126188890347,0.37852191353628184,0.47217910782452627,0.27743703761213795,0.33542399793226063"
16,"0.3281962692358987,0.051345950050221925,0.15234067951384098,0.5833173723759011,0.23436835354152502,0.4272902579943523,0.5357411951059338,0.7279062778260005,0.08653530645498868,0.4627446232877969,0.34498616362134643,0.3842794190665778,0.19510616367705355,0.2957256296978518,0.3108329790879584,0.35789846112872614,0.44977057460313075,0.30943842119254483,0.045992842203991295,0.3396309634420813,0.28987420919919205,0.21197815320813515,0.4471623053490135,-0.026934622613238403,0.5162321793885544"
17,"-0.1093919277836767,0.45713898850230117,-0.2753786929128412,0.866290539704845,-0.022398938773913746,0.5166217891864798,0.5955847805167881,0.8396452767120166,-0.30942578358584516,0.4270048208997906,0.354543268642926,0.3532087618393949,0.6215312969047311,0.3917542364640317,0.021078015129487922,0.41736967863902247,0.2522526729649896,0.743567959295789,0.23314777598186595,0.23650246174323072,-0.16272380510858164,-0.1757262113311063,-0.2683325008236434,-0.2671928524292659,0.5554007030390813"
18,"0.40040010443472135,0.37757655542443413,0.04977520600501733,0.3328448128018925,0.3683529451755463,0.5888180911309396,0.23364905667458324,0.003501393542650184,0.6595950773719335,0.14158397623878383,0.32442668717465306,0.32371312808787084,0.44428762925089066,0.5532325447163156,0.2839409015762901,0.5006548802059013,0.2135114287177349,0.37313202831106895,0.5911210512204534,-0.07268064522142,0.47009484563664206,0.570605629101085,0.5803927586834882,0.4002622484823018,0.2563697998229074"
19,"0.3206725846404317,0.29994312616707547,0.3095786557898954,0.24628339364177718,0.346877855982959,0.16156638510806506,0.28335638978808547,0.33849721385793574,0.714149957891594,-0.020790698536233547,0.14555530156555685,0.12082434946502883,0.5753185097176159,0.5973039597329223,0.4287204236220228,0.3149208119666397,0.10592400029567119,0.379656702087976,0.5181957216733805,0.27480984912968104,0.46600108385804384,0.4718978133856975,0.036505129467196466,0.4839645485874069,0.17165699121200792"
20,"0.6262852905506205,0.2647466413353825,0.7760363918275435,-0.27529210614371574,0.357201798997814,-0.12445541339414506,0.0741966758014312,0.07741050198047227,0.7171898039286015,0.6065260461151688,0.4037893105775966,0.21726478081055325,0.05705233435948197,0.023110475828729552,0.3981003086324314,-0.24116414797697658,0.4081363978934167,0.008828934476328409,0.30587216638889886,0.47267800725588643,0.7346564831167129,0.5145862009002299,0.6215685377846418,0.5539477742993137,0.3836620597514577"
21,"-0.2529420363997293,0.04727193087934273,0.19916015351234329,0.12370290546240618,0.3070331303286405,0.4263560622143208,0.6088052681145958,-0.12374698298786502,0.5989073972973753,-0.13433333490354235,0.3684151320171899,-0.0758145560853434,0.35357562220561484,0.41330221018418234,0.1664061891846304,0.6876188172516098,0.23671570367361672,0.37880509222735426,0.27566992378373933,0.32731017214677094,0.14170540336072618,0.3229360998691145,-0.3125570832130319,-0.2563930630363192,-0.31973607493492673"
22,"0.10172884374305534,0.5299393525473862,-0.10143949835037457,0.022620251540920296,0.19409949885446554,0.12049646768652286,0.3509960909275392,0.3690975264390964,0.5298899386311166,0.530492986143528,0.26913220529734505,0.11889691834708332,0.5463452313707304,0.45291976298303005,0.1940214564832624,-0.06690027320135332,0.27506582647830097,0.2878005330410158,0.8361002260444542,0.09460338660950839,0.6232266373133192,0.3912244146354257,0.21128475640168565,0.08570950293760463,0.4164718925713093"
23,"0.6245899620182261,0.38158097813348535,0.6658086882074313,0.1522599674122507,0.34042434652522013,0.15661585121687124,0.24289674925927185,0.15024899261217195,0.5037179920342506,0.45973157664485786,0.39919717308320574,0.32224899308950733,0.2238852787922105,0.16682700167377054,0.4034218943856973,0.022005254092811188,0.3444652447545019,0.23275142985493247,0.40089933695855035,0.35575895901934856,0.6424196881342338,0.531714350150521,0.6404949136061509,0.6248648100265666,0.5442266667183421"
24,"0.22401385906134774,0.4218110359108481,0.580914594054364,0.4778239517806959,0.5979174754776171,0.5379353068070133,0.11139404782392535,0.20025397269158365,0.45509512213020986,0.35505846561242227,0.31794638448165463,0.3036596369984537,0.5026047308688377,0.3350517846830465,0.41183826790910577,0.3377464020941799,0.30246510867918686,0.47057673255661653,0.14199032025896494,0.5095074903245916,0.46872772099643634,0.35387950595280865,0.3840451539141373,0.29239436734384566,0.38862753254116045"
25,"0.15449746756765642,0.9390485899302828,0.09532278831142499,0.5348226636192813,0.10525861391225667,0.42925019591538727,0.32778212585987065,0.42249396922163607,0.10212282070438058,0.4024478671466911,0.5398774575699283,0.4564796864669384,0.6134184739166632,0.5540722658039712,0.1149494804752783,0.40316566016613326,0.33307096965626193,0.5376593017907552,0.6978402842702321,0.016983688781379364,0.24817620202951685,0.5091777579511191,0.21654331179243802,0.15856779073116778,0.3983535145124365"
26,"0.36034371955687483,0.3778290844902643,0.12611254209585188,0.25716876410883127,0.41075332417202776,0.3511413681789998,0.43214854870847624,0.7319945925544598,0.2621458969527462,0.012925552320077938,-0.0256399664661967,0.10783671871877169,0.5438219521232412,0.45766832481214104,0.5986831892537615,0.23877863118344114,0.10641265520680451,0.432656894409536,0.34458157311705606,0.32663550285404536,0.5052583386468342,0.18962124318426285,-0.012276286104033368,0.5379138855486316,-0.09508787137989687"
27,"0.38155442379463084,0.344609115069801,0.17014311932739,0.2712272603444972,0.38995451914954954,0.36377892967771397,0.4187491387991914,0.7098455190497901,0.300792417815045,0.049585382567602386,0.035580243238106046,0.1338588911813482,0.5392331193699541,0.46494715567590705,0.5974801588461984,0.22285441550155133,0.1530508872728459,0.4570310410060011,0.35109432143647507,0.35938544355896423,0.481401107161604,0.17480714549025764,0.026442823631472767,0.5266365621600995,-0.05110940648986535"
28,"0.39707765702796627,0.20549109984709976,0.5808768073678094,0.31147945982117337,0.24192107917757258,0.2943122729094551,0.37968033853668576,0.3474765466338502,0.4040118196641698,0.7183690575093705,0.5950716337215604,0.5708690311253504,0.19874321166720077,0.2637213343641756,0.35089572446660444,0.33836792096100804,0.5092688637649823,0.50925612621927,0.1848265722173689,0.49839288795810194,0.27061845188352623,0.26557872010391365,0.4865502421874175,0.1506095802682226,0.605544171988306"
29,"0.5225061918841117,0.45495956746970656,0.34576114527376584,0.39109652049181715,0.3606849487007317,0.49514829135658844,0.1830742611361048,0.4996852068507409,0.29420993669758405,0.34520628995416036,0.4945252206628011,0.2004557673630927,0.23097553051784678,0.2914419306191724,0.2976880808268663,0.2924855567371266,0.3674811034192981,0.29084122000234464,0.2931122161377189,0.3377149078170902,0.3648457737111335,0.269325919466702,0.35552126911094706,0.5043873929309044,0.3302905414035541"
30,"0.261413372023567,0.35034729451234686,0.009220531198771422,0.5477742552763478,-0.03127472088936794,0.365257987351671,0.27429924564845826,0.49788513870449325,0.19618460441620922,0.5872399356461567,-0.21337980468709405,0.25294847220707606,0.4084222871521453,0.5275070994059813,0.28973365206152163,0.41299867504836885,0.8377037094222312,0.2806114192794856,0.603207626228458,0.4038224141632746,0.37978590435976073,0.6607537492192413,0.20355382663196142,0.4369806232038086,0.7602082198051822"
31,"0.30564508343008734,0.18461171247645172,0.14996512731500222,0.49086058401274957,0.3781554467278953,0.3488179008732166,0.3789380981741704,0.24600597948879224,0.42433226937039414,0.43153728671575264,0.2486739580969708,0.32409960133283683,0.40640118174392903,0.44673637842004355,0.22720763005016636,0.37472996696590133,0.5994508678102574,0.33946473209753414,0.3661286191583649,0.3774899003888531,0.32200301862372205,0.5337061539957575,0.3185225222138123,0.34736989355735887,0.5845384371451368"
32,"0.28815066229268604,0.28336231278183066,0.49131759036966643,0.5033792919532232,0.3702112221779133,0.35886978442817996,0.4403140280630307,0.5218809707087442,0.41811539933007746,0.23237023697318815,0.23454493547930932,0.5391622296904262,0.12070677590008894,0.09417555165638089,0.582274880842257,0.18703588913239466,0.6409894381240157,0.3629655473516087,0.31567457297733464,0.26883237581825564,0.2964732498590951,0.2712197388107238,0.09674477580312588,0.33908470278043557,0.40262574292765757"
33,"0.5050050884327583,0.7662122557822374,0.701672295814063,0.8233629760752824,0.20964970649161066,0.4417027831130578,0.5609936205630801,0.5989208932421579,-0.002498772671250124,0.2081920988425638,0.4713659252323163,0.6062783306517217,0.11524024552835567,0.36567365023547566,0.33546137185567254,0.6277340748457503,0.43351685958483643,0.5031477831342236,0.2795539595903519,0.39434581275259906,0.15974328008545569,0.5660835142540331,0.4880528187266964,0.5855824859114624,0.2505103949578708"
34,"0.21170502254074616,1.0120474207454362,0.18253927181899485,0.5556541383741563,0.13837330317503416,0.44305562213654565,0.2841530255212824,0.39264452712893755,0.028252312865884567,0.2840648279566607,0.4998219552586106,0.4487674107851731,0.4712554161163953,0.501688866883977,0.13513680707631875,0.4623740587578755,0.3333022969975462,0.3827878174222494,0.6480745229853334,-0.08743438946797459,0.2841306846651554,0.6347553965516646,0.32214112668007777,0.2141662851751531,0.26388359190474003"
35,"0.6099574185809415,0.13694661149978965,0.4229377027840629,0.5243569007383935,0.38923555430850315,0.4312381281395934,0.5345439347274352,0.44363678194094436,0.34297339132608085,0.39672667516578103,0.4256903302766898,0.39331234985060065,0.42048172687014995,0.635080276236953,0.4919652288642998,0.15678207143394826,0.394759625107115,0.6982475040402121,0.2472389668991378,0.5418538847413368,0.3217219134278414,0.2876812889874723,0.7414825419740401,0.34247463014206425,0.3702490909119355"
36,"0.31864654664801906,0.635792087344811,0.2607266542368618,0.525308524798399,0.19010030412469356,0.3727014882094782,0.3056607168875191,0.5457825045577598,0.3100584465015086,0.37672408787740314,0.5266133714577579,0.38892920699123984,0.627037074722495,0.6006486662007845,0.3079036515550583,0.2852026777243389,0.3116446828893478,0.5817945718553418,0.5096893262631098,0.2729659654954646,0.32819579118796444,0.3845701811740381,0.33667500258376043,0.4175952924968614,0.3256177105750851"
37,"0.6209533017278637,0.0053037782163986545,0.5817480118256282,0.259307087309643,0.4293550779200721,0.4186241944151982,0.5096286410754084,0.16122948822109331,0.494922172766128,0.5793036713765646,0.4076988692965842,0.4599494225074376,0.2055734656290947,0.21970727340703458,0.43494777796988765,0.37917748745786795,0.5735292499679817,0.3759872687414326,0.3092315309106599,0.4315128188578536,0.29470957689976135,0.26047971384322943,0.37714600731855646,0.07340525356561847,0.5662378518920029"
38,"0.28712441999727273,-0.06565007073450715,0.6955431812410485,-0.09033734518040465,0.5449372995365005,0.7054010801908996,0.1624560625956891,0.3379096636536507,-0.18158232927028276,0.20554021296954364,-0.2733548801197434,0.41356734995793765,0.11148115089362191,-0.18103525765144415,0.3329427991409094,-0.11209969320611916,0.10040296519302189,0.10568387732655891,-0.15973429305711045,0.11717909329454414,0.34588542150058027,0.18419437864910457,-0.02724079131209088,0.7586504321930241,0.12671364888510522"
39,"0.29884949706930963,0.44661176253654467,0.4272057936808846,0.3468463235911065,0.36295956165588417,0.19145331298326757,0.2872999922264093,0.22623047828492318,0.4403372258565811,0.22016297125250842,0.2723335549860059,0.37128239233869736,0.15003974764785416,0.5331932479498231,0.3396196054636386,0.6275413520322133,0.5353728628759332,0.4514609813352098,0.5031253941008905,0.4915603172186722,0.6189325155984997,0.4848400889656994,0.2967685207749496,0.2515139652997514,0.43894473562540076"
40,"0.5540527420961571,0.2181677518510527,0.39192628215152164,0.4531693717035105,0.7154459427660781,0.22465149769698511,0.45580147807275956,0.29293550886368613,0.1179350989669108,0.22250964946407964,-0.24268985787583663,0.46369253448170183,0.352324686161377,-0.0889486669774754,-0.08924661683493494,0.49084238474184005,0.08516730270022384,0.297081356965061,0.0698816293420975,0.35076773070239853,0.12382436248442964,-0.20623082933592723,0.12680784330594927,0.4206650789600762,0.18613295209808198"
41,"0.28778092831933116,0.4223116112446763,0.31439938882890334,0.32597513769992387,0.42139728772136725,0.7269558573471359,0.24166314733807415,0.5912999720735086,0.5858985719888666,0.7022117373820689,0.12069423182916786,0.4257289478090392,0.03093652350381418,0.3688913501099618,0.5623396815717263,0.3346976127472166,0.6543623273700303,0.41015875582294237,0.21100248110484568,0.38433432298197256,0.5066917289435334,0.5396482130051774,0.46908055710848645,0.30127804023540283,0.4058426123563163"
42,"0.3756065605454051,0.3068362224266064,0.12720912255208938,0.5808745590199076,0.5063724669407791,0.3611635666252522,0.30751880722003383,0.4800344081472774,0.29367446988371243,0.6393083278402871,0.6110101057944486,0.11967867191023229,0.44660839019583004,0.67651403642075,0.48048920271615136,0.33303068504644123,0.3580927689296226,0.6112148175416778,0.25549110550622417,0.28919544769377786,0.33410789544473,0.2539023126419366,0.4975845064539979,0.5925311742950723,0.2727418261456778"
43,"0.22217218768088073,0.25204311449677747,0.22904879642268944,0.5379475758240606,-0.020691443404815373,0.23450335093516747,0.15515635659580287,-0.13408787529520874,0.7651973680456584,0.41154010715525313,-0.17344826475240877,-0.11087153332453001,0.6886534901333714,0.7727336365332896,0.21869121799842095,0.3452881463325441,0.6294669090085052,0.245976108497948,0.3425924705959229,0.04231032306900311,0.7792773634348105,0.5441540904484247,0.2467115911514923,0.37881542413328917,0.2987156018749954"
44,"0.32295600682440384,0.5979711134980578,0.557231540320876,0.2419736524540205,0.3559460072888527,0.33836211669636274,0.4516428353201387,0.4993132193001355,0.28300868388102257,0.4750906497331587,0.364968328787091,0.16871294132540682,0.6208094061751123,0.2487745455499421,0.36259410902235695,0.39148545804845125,0.17243720443645363,0.19738475719089854,0.6222590267757727,0.49319756089694067,0.1359804098813214,0.3638382322582432,0.5660715115771296,0.2707089642726825,0.3755551547178916"
45,"0.2541000360136099,0.42342446448147536,0.4679426498484118,0.3262988722949951,0.32063747557104344,0.4169501498027327,0.2879979457392952,0.3764634343374856,0.3943213397810022,0.3873045815253776,0.2892202118894758,0.23590188340261767,0.45017309419984747,0.4318514945400914,0.38088153969017,0.3992860525977133,0.3922055860433848,0.2390462092831353,0.34010149813736146,0.40087479348760896,0.32296951007029956,0.3363269745544443,0.23579968237756654,0.40119236976756295,0.3788128183742971"
46,"0.38414096112234525,0.43739898136757593,0.4973022798167544,0.6912805848134589,0.3444445199757999,0.4017882622920409,0.6113279535543567,0.4722794064930866,0.23955941528586525,0.46989439276163725,0.5637724245184017,0.43491558314281115,0.43340264309857235,0.6026258776879272,0.2377579030656637,0.18478763059283218,0.30043902128841515,0.3446365780561995,0.5911784604308556,0.3110409440721767,0.4471105482767071,0.1418636901596134,0.5007160874749841,0.3558129879094952,0.6079684974754119"
47,"0.6415923662116217,0.4660953859760895,0.22497984198828702,0.26171492750145137,0.4316647228687664,0.26607167080013183,0.5835918584593839,0.31082994668683417,0.1804331288159567,0.32815236234339695,0.39534947366302253,0.3424685992851396,0.6476468340136877,0.3144816757833006,0.35916936041055747,0.41637765689359446,0.41956569875536603,0.4804535202190297,0.2704442871420376,0.6522475158959965,0.3178117420371075,0.37725739486011683,0.18175933803602984,0.24586866268262417,0.2660650974643666"
48,"0.5671630301478061,0.4654573467593555,0.39621066540890687,0.3124028458945877,0.3304412494272867,0.31468212608270246,0.46352807471785307,0.2628496765995217,0.3785968465226724,0.41745029260896394,0.5805770428939871,0.22127873374825424,0.338637434541255,0.39894722837457913,0.35434077684081944,0.3694898671916182,0.36952149707974175,0.45351596472799566,0.49113251823488796,0.197986340122428,0.43796777252229757,0.13609409721126955,0.23970170054164341,0.21222397689399378,0.15418566640329692"
49,"0.47179557401826305,0.4508676065813144,0.49570545279514955,0.39273677310673666,0.3148795743900174,0.35512955449450684,0.5030567296605258,0.2668525489590683,0.5088286176115092,0.19786152077561556,0.23095583920633936,0.3979659261458044,0.12084810844980776,0.3654477517149521,0.48817914695566733,0.5194158844527419,0.2828415949838092,0.4998225004072013,0.5213572805663004,0.5547297741451009,0.2964760666004258,0.2160686142112037,0.24373516545577206,0.42844088918408074,0.4019023056157919"
50,"0.36001585619575327,0.35406635058973596,0.2194345389294156,0.4130254167363424,0.3451894370093923,0.27161576631312223,0.3329493972528326,0.3953218077885474,0.286431262078409,0.26084983800458733,0.3563334361259316,0.32275439846721954,0.237750553361976,0.2681996444330498,0.43442693650664516,0.4195239156516833,0.5144448390390403,0.36570598722563213,0.3791953970178577,0.28916845539660896,0.5936726091753667,0.42322725882993845,0.39987122156370464,0.4544199980404143,0.4177155059020703"
51,"0.3097606545724202,0.45291722109096216,0.6538687974658168,0.1849058173702923,0.45311237059271914,0.3653679150730623,0.5383015953902894,0.3741202850674011,0.31049575477716235,0.39145489559877505,0.42195945122171835,0.3549494618955649,0.5909320573040384,0.5636560530621216,0.5410356838509647,0.20986508381163005,0.5354203072407395,0.3811677253850784,0.2635409994580634,0.2332715491572062,0.2676046111949373,0.3399356740903896,0.19446822691257235,0.27248550898060697,0.21507536015610312"
52,"0.2915338945074876,0.36214199955343374,0.4958815927566226,0.35022493575188435,0.431327838456252,0.37121940011245136,0.2954352087017539,0.3372339885916318,0.4753460897447556,0.3409376962578394,0.37645432024013575,0.22626073854349038,0.2781033012666794,0.4773504398644875,0.4902440025964064,0.4108979720181829,0.31059730506222016,0.2737366961746209,0.3457670143992016,0.44932891798550223,0.24296505662117138,0.36008492768826217,0.2581447810940735,0.3595291356779182,0.22809072183581527"
53,"0.49869933510364295,0.3331077633171183,0.14564130221316435,0.14977022886191457,0.17094950210541182,0.27882952472631856,0.43809008886298134,0.3073440034470893,0.4724367439277257,0.1782046717688284,0.4349434200119671,0.46194344573500223,0.5174826308179955,0.2004993054346117,0.3463689202182267,0.4467592767827092,0.29995050022608205,0.16112673477069275,0.17839436182919638,0.24668369759383052,0.3972418176604615,0.2616660888817871,0.472263734627832,0.23031539712585528,0.2529281385601116"
54,"0.37999074498225544,0.3628129269288517,0.3302462203776034,0.32731857687261723,0.2859810647617941,0.29771485338947257,0.42854388242389446,0.21236924375976493,0.2722162771392347,0.40303648405290327,0.34261424161801807,0.42954851128929594,0.5290409698626724,0.3596842394088914,0.3079291044682516,0.4267848105185859,0.4083346855440103,0.272177508223375,0.6074114386249075,0.4346272376657982,0.4444641583795113,0.404790996142578,0.4874474598729935,0.3085575003508637,0.5799780809432945"
55,"0.4157186309415632,0.3363694972998026,0.3091204611147778,0.3758575759130692,0.2391297320807308,0.31412597790524915,0.43124675334246076,0.24693640950623116,0.32028626874810706,0.43004057626387754,0.33111151828535995,0.41369883606983454,0.5215279013734411,0.37146260298293926,0.3168280942514815,0.48983162347848797,0.3969403862591216,0.2807942401587142,0.5726098478181324,0.45273844800271207,0.34543038429769524,0.3930576003400545,0.43789921330808446,0.30387107199250996,0.5889577243013002"
56,"0.16655644996174745,0.48072074167379675,0.4325539725485285,0.2044416406112647,0.41464269994289643,0.3133561778589385,0.5279928222689806,0.3494078957801537,0.45286270837531817,0.3821254259730364,0.2539281294082835,0.5489683535229279,0.44934097509080323,0.3826632989004795,0.1719964822522652,0.35402926683368574,0.4009072899497409,0.374250862086156,0.48753834225439335,0.34672330089473113,0.38118778267780984,0.3840342950517306,0.49845990366867776,0.5045275318252741,0.6024972818140468"
57,"0.194111795878048,0.3082353872761192,0.460430871718862,0.48567562337689724,0.2609935373449387,0.15668437733163498,0.32960653983014676,0.4634092057789361,0.3456960700587297,0.38198954947178804,0.337659244828026,0.11450737412494189,0.21705605140140724,0.31787053271447907,0.3766038566899695,0.44785511564976516,0.1801755049494264,0.23370701080444037,0.1309125057082136,0.12975567093536355,0.33528530664231276,0.36228206293598597,0.30634763042100427,0.12315964611013104,0.10892788249009219"
58,"0.46731650867157803,0.09081673880039016,0.37132097610442,0.4024486455610901,0.3141280546490625,0.35779679124561714,0.4510443697974304,0.32319953210814256,0.2597308647638117,0.2910017903833111,0.32175540563066884,0.33756809733276294,0.3325545861206123,0.5178371555393032,0.37982151830645433,0.10302139602668635,0.3227383882309823,0.5666839806547107,0.2088152231322336,0.4640028744403595,0.23758776994058525,0.24476249291563038,0.5702799339565329,0.27480809964394515,0.3292583383793086"
59,"0.48735062177797017,0.05182947260469899,0.8343279254365706,0.47099862525163055,0.5006883005087657,0.6797774907847052,0.8795215070046598,0.214844972966599,0.21213280881173932,0.18484968127266982,0.3416221932352524,0.7167383453505157,0.46797315275163076,0.8382766704617292,0.4424896163287859,0.00979942409152752,0.5588900759702541,0.9397845906834615,0.47864514638952765,0.9160885552344066,0.16450995303254295,0.5359081771137414,0.6358775197622367,0.4135031083209909,0.7886577563074417"
60,"0.21806261607058103,0.3598323489217433,0.3631565026375735,0.30656826884921773,0.3042185748360114,0.21507672510258322,0.4696394885618987,0.2849677883682942,0.4628228548062167,0.3019260211511094,0.3767704947516698,0.3377144693777862,0.36508985978674824,0.35233701126215794,0.3385190889632487,0.6251669819628792,0.4072035941429336,0.3094148842245259,0.40715350932961747,0.4317396897446765,0.12897388908077437,0.27986414203926696,0.4379927702404516,0.28206428526944133,0.45541605951626973"
