,item_embed
36,"0.41815901939380734,0.30156909068081095,0.2813824903785499,0.3219082000775673,0.4266946630256659,0.5677620759113424,0.3209938403059826,0.43728588238736443,0.2984623876859432,0.21320035499170062,0.5423773247634394,0.3251741622458837,0.4500566890619065,0.3840951399531984,0.5728098462827201,0.25907298209479757,0.34059149605662703,0.6081229756297503,0.6656218231486734,0.3752289724436595"
37,"0.5247543141902024,0.37121842954587125,0.21800229226088816,0.31955217287485194,0.771112926417787,0.5771364980561066,0.5346150301560144,0.8546937405574865,0.36499092199640165,0.3708201392922688,0.4392119170912831,0.25683017831854676,0.40731851560139076,0.5807555284793628,0.6459915998931159,0.4374898290494271,0.6380255321764345,0.6335549647888831,0.7128224387639149,0.45260724976195965"
38,"0.2083387020174514,0.4675231185892943,0.34660281186316666,0.499023214059532,0.5683532422472548,0.16650657746315478,0.48036828625915584,-0.011832321396229578,0.7585261729762973,0.47855991772535467,0.35406431746693384,0.796219025526158,0.45805012019761454,0.7835698252567674,0.403657719311863,0.7228768020707577,0.6832963412223096,0.45500304572997324,0.282542350233771,0.5843334944990332"
39,"0.424844422127482,0.40543385128224774,0.3675575120414357,0.22688787105101357,0.33497495788382,0.28165421376599803,0.37048848428324527,0.5539571709200559,0.3021643548381317,0.40106229463169324,0.349865055103468,0.14550285638359794,0.2458832309801615,0.4628980917623209,0.5546714296783836,0.2778667786707851,0.35813947458575457,0.27671781613256513,0.19367832528979304,0.2699460048636357"
40,"0.4489482896337546,0.15170273397352374,0.3006479118802913,0.365424682014774,0.28456874994034576,0.44841481416084406,0.5188728172476187,0.34518094649726866,0.223934495160343,0.21117046171512407,0.26823367369599066,0.29768672747449415,0.421299112408567,0.30090868379476554,0.06409782087806751,0.4768385672572243,0.4565855464356016,0.35223119246328116,0.47376557731720453,0.32703310958583653"
41,"0.43734566665375374,0.3652122010794318,0.36670005807095907,0.35829674792625343,0.4815721186867391,0.4513572624552065,0.38549011579193987,0.4260895179786993,0.47642819044849205,0.1985270975121343,0.3323654058530935,0.43585334364627887,0.2613140630418858,0.501997361662106,0.5367272602627003,0.46339512842178876,0.4792286206905046,0.33337985862520997,0.5906625020595851,0.43118895574212546"
42,"0.34602128473735766,0.3153940832893765,0.3585945203346927,0.4388509903599399,0.6856302524300726,0.4144213368045184,0.6016241357372931,0.5442904196196677,0.4213269426524957,0.182238701164363,0.5443489887762846,0.5508969298970336,0.18748098483199266,0.13174845714061645,0.4604182676290059,0.6259399239671333,0.7323224668846302,0.5478865464552524,0.5019359337894272,0.3438355011905673"
43,"0.7679804502927988,0.9848998981164301,0.3502782645782817,0.7315744993158605,0.5635352433213193,0.5958985172360876,0.015730822297709057,0.07833932101395058,0.7928846477184579,0.5748472566124997,0.2813544699339643,0.7689204762979174,0.14425415909906913,0.2388156104159096,0.7055018279785701,0.8395913956845814,0.2175151558715478,0.6880372721114592,0.7986145111519234,0.09638493990151109"
44,"0.44944406389013736,0.39754386190062313,0.4958865083661178,0.5022535895488078,0.4098789594805455,0.3905007052718418,0.3190523575198309,0.23381552816886855,0.5509552705721106,0.13839421610370156,0.10259978636110166,0.16204791160769663,0.3376567236166379,0.3927078511796202,0.4321146927372666,0.5386504156931027,0.6929646911678825,0.6373036880829748,0.6306004321258446,0.5159977445582454"
45,"0.44257375421966194,0.5194900370530406,0.04765427402613499,0.378186924663059,0.3631627849572471,0.3743896811609984,0.6263850400630204,0.29888715734290555,0.44981788008514706,0.6464981391643757,0.47973889595594943,0.07770869846068108,0.5870081518555724,0.28238046230220265,0.3592750469357316,0.7929861126342171,0.28655858444572396,0.5157340456727749,0.36630008937031755,0.3228807202464917"
46,"0.46274019209166617,0.7811600856287734,0.20440519629039122,0.058717229838330054,0.835128746898938,0.13504937752143187,0.6742199256981697,0.9406148820768837,0.24308135500559958,0.253578609028167,0.06243081098817138,0.3622371542817421,0.902973852281868,0.3756992976463993,0.22447222458402294,0.26788797018794996,0.2722679453996101,0.8591757281318319,0.9518608598653016,0.3547597030213069"
47,"0.41529300315835693,0.18366027006133281,0.22544469103959672,0.22151523376258966,0.39529767327120086,0.3357596018857361,0.3557529284077788,0.7103319935238055,0.36992463634994643,0.42737606876874273,0.6559784061357176,0.6658642034497768,0.5712557546957086,0.41919356207868225,0.5448488342462203,0.3691531466013311,0.41989314056448146,0.32401769154347343,0.39285015923234506,0.4688710928387287"
48,"0.5564652050720117,0.46431205974048234,0.4764161891842967,0.4485736063362293,0.6022261444774599,0.5523391438688153,0.5007517213033266,0.5386669511896337,0.5961742768963104,0.257656199235946,0.3945258451578363,0.5271444753220753,0.31611185836381483,0.6253392018129237,0.653511911605345,0.5959265306141839,0.6039435648306494,0.4237630793656779,0.7126819180047926,0.5596521106640566"
49,"0.6580389081103822,0.4340158447319537,0.2788049986112539,0.43330293025475425,0.5837349915876949,0.27581919628928964,0.5429414369729831,0.34472743087392577,0.317046966835475,0.4105410525438313,0.482921113691322,0.49965586526711864,0.42611140910266754,0.6323757283346597,0.41575463958004255,0.35620285294399284,0.6537089223462498,0.6335302777345633,0.4725889115197675,0.33376836511914093"
50,"0.2891855061925407,0.653361471937876,0.6282278104241851,0.2973087933199752,0.45836545391937905,0.4346242780604738,0.49096874012074293,0.6626567883211231,0.2518286730772178,0.4297253195058464,0.44254491577246935,0.3443256524703464,0.13714889118670784,0.2596476197537493,0.38841380110177187,0.3791751962625679,0.4955816775770494,0.3294212020127944,0.733812502879598,0.28525540592205606"
51,"0.4395900085033432,0.34073806957279684,0.698660441915437,0.5432043509948428,0.5217529003007668,0.28792129480506745,0.2957544456886215,0.3798315448836087,0.5877531681319665,0.6924699477238521,0.7142567882982362,0.5808022794645338,0.25449978971924764,0.5546194926248446,0.6033202973912412,0.4352534862812089,0.5686673791759915,0.5606154586039903,0.4421016517899275,0.45590566435383134"
52,"0.15795989779615513,0.3291411044861777,0.1179499445772241,0.27548192979666225,0.3371416197226606,0.24465282919210615,0.4674230552120088,0.33204005074185095,0.3354332051892058,0.19303865694496264,0.2279949859731769,0.26811832415903575,0.3178539654084675,0.2612010888139392,0.32385813249640966,0.2587684630799543,0.2622527009515294,0.37567515597540946,0.3695016704347562,0.3034142857331731"
53,"0.18470714714737935,0.4515100834709659,0.3568306507837702,0.5283669770198309,0.5513221454437753,0.14678896615512588,0.4604397656314955,-0.03922037220790269,0.7792633006680397,0.4811116950674958,0.3381677632083232,0.8044380401628807,0.46969371044350566,0.7798644273834286,0.37387010569321877,0.723656219534439,0.6950747983403235,0.42803693916198604,0.25774253590723206,0.6119445307287983"
54,"0.4193743710897578,0.325763321074521,0.8065995517725941,0.43702857806509293,-0.024038163175029065,0.6823742432110983,0.0069743053183699754,0.21662923414218596,0.31741427790066873,0.4884679742807121,0.4381579187932353,0.6698096046773419,0.10919353066077062,0.2746893187414099,0.6799426077011055,0.6215526226017223,0.1690146196928142,1.0914238158677192,0.8075373682642147,0.6701167863834178"
55,"0.4141032588339302,0.2837887099574167,0.1687737206358373,0.2715822069619219,0.6273566039060591,0.4546784441857971,0.43203834602273516,0.6651287649806121,0.26760338647791604,0.29784473577287807,0.3585812967992564,0.21485510312232803,0.3566883968448621,0.48987859536935785,0.5005046892520129,0.328129943239022,0.5322966240962883,0.5271923654238262,0.5458230898584281,0.37853055916510936"
56,"0.5698906088227288,0.8716654428018329,0.8307489712995618,0.6911876148296549,0.3871786960158886,0.7434235970125049,0.7172831143998207,0.8003199077475448,0.04693394135229223,0.7106510996247121,0.7353216990285046,0.02505701780772751,0.6093237347941791,0.22691727255665917,0.7745331570402512,0.9814110128947826,0.9529799765615498,0.3893240936143536,0.17532630282475847,0.866629776794422"
57,"0.19048091217957494,0.46744310649553256,0.33812699347362274,0.5067933843130634,0.5618945897351356,0.12841146635239295,0.4749187238566774,-0.03865103974077806,0.7712561078045361,0.4957414779418261,0.33166724437995576,0.8095527310239137,0.44346075382316064,0.7839433098147951,0.3874317552709298,0.7378040050145386,0.6953879930317931,0.4269499945826458,0.24115811347878807,0.5895124100026307"
58,"0.1793310310214465,0.5473997077996234,0.30570307099879135,0.269698266833004,0.6838066848060175,0.11165970509190648,0.6536673008345985,-0.09515216755992091,0.7418154555612105,0.37113049870864373,0.2778392502414143,0.8277924326415793,0.45351909848140826,0.952294197448274,0.3302087297939107,0.7904087940634605,0.6314167899499676,0.45877832745427577,0.227772388860557,0.3631401469519361"
59,"0.4958695263284902,0.32896995434716614,0.21014940072419508,0.3277415846389996,0.4351826186795659,0.206930063734203,0.4080758985660766,0.2585030342641551,0.2391100062610157,0.3044429640637589,0.3571145525468351,0.37855614646129926,0.3204102893352556,0.47079323359275815,0.3110709523761065,0.26771397231297217,0.4887106864265003,0.47355778640759905,0.3567827092823597,0.2502028318169715"
60,"0.9416285655394487,0.5854601870057268,0.19412498047235294,0.4028183741336856,0.18846777226532474,0.5819894682192867,0.7371638266686212,0.638302641460549,0.6373795827035991,0.827860275938358,0.18950211379838966,0.30853447112392074,0.6332422694983901,0.3816850823619029,0.7986548470130083,0.9627988269797382,0.46223861988942905,0.4576739284489837,0.13029841362400685,0.3936884808030017"
61,"0.18548686944572818,0.48162919083734546,0.6497106721398818,0.3966137650720731,0.5656510620702441,0.6162951871056542,0.5337613842183038,0.4165225796717774,0.3584047548540762,0.08746591543155356,0.11616524406723501,0.5166765369064191,0.5002592062961587,0.3353082073401527,0.38330859649930726,0.39800074653014267,0.5791770000767469,0.6138554742088498,0.3386329309125715,0.27301022801119"
62,"0.4949266597703411,0.4323166789828415,0.47793678760407304,0.36157792040152054,0.2575582029120142,0.38272508912101805,0.4404955164500981,0.37867325250355,0.29399963167731186,0.39060281865290497,0.3116654006958241,0.4728911614505776,0.1933173550808357,0.3017860816360109,0.43109998193115506,0.4831812163695933,0.2341395637795033,0.35933088593250295,0.3522439859889492,0.2983153111503404"
63,"0.41655548658485614,0.18024638481225105,0.5705782951991017,0.4047895219815183,0.35307426162762867,0.5621057664111003,0.37003933952999696,0.3429604879333641,0.44003665911937495,0.36055319175824463,0.35545021930218956,0.46730269970288046,0.5527621224186253,0.6499718441478258,0.6139280195207495,0.504040435160153,0.042503448551651606,0.549112050375098,0.2724122346061594,0.441069758852338"
64,"0.625956111188523,0.6173081887443368,0.7392094776244098,0.3038120913066291,0.2095415111718123,0.397868089018348,0.5614747539554783,0.043906907783156424,0.8159366294207476,0.40735809826358993,0.1832832962618779,0.2432538796926681,0.7573210954492892,0.3247593994450866,0.10120088981678665,0.3529900394161335,0.8936798205638914,0.5727049357408814,0.10176431696439447,0.28049225231684816"
65,"0.32468802886700576,0.3344188157906906,0.19432021640023137,0.022927850052828342,0.05698422540768629,0.20781983440688467,0.17074097504578667,-0.04723481814737236,0.20987048652079376,0.25970997748002167,0.06996096698810175,0.21934635157742677,0.10212826086914825,0.16539319773883307,0.28121482048125324,0.1341862220109312,0.2880448507440655,0.301280552827622,0.230179944226782,0.020545406262624313"
66,"0.4431889016986211,0.6897974462163721,0.4343820360191978,0.7599223033764677,0.22632494966725203,0.38115361232593425,0.38318489078852463,0.4844578579620052,0.3074398168975201,0.6416616447001748,0.3947764755745971,0.2934710773034731,0.2782499895602743,0.3704581211192733,0.4807636970288837,0.22295088904077312,0.3018943934314429,0.4060433188189695,0.4161994165247719,0.35813445248918563"
67,"0.3532819092929308,0.2689490248034217,0.5604312563297059,0.43350776075862113,0.4159258738104108,0.2317858936278269,0.2342583875665881,0.3035389168536199,0.47232870400280386,0.5485283710551742,0.571052648380796,0.4612252601236139,0.2083854840833876,0.4430317346898289,0.486413732809666,0.3476609847787976,0.4576569916089272,0.4497091675995434,0.35403081163811156,0.36488318942316483"
68,"0.4816120762360579,0.5311005106510851,0.6767328536546224,0.5483183693987036,0.6583384603864314,0.6163258875036874,0.8391369605431785,0.5046304737436387,0.7517213635017765,0.22701519712873885,0.35113224563724954,0.3979035391403226,0.43771272549255186,0.3871491204890261,0.24232395682639934,0.6518299615383597,0.25849811873288253,0.06039581079410884,0.22881796259007706,0.5819908859833339"
69,"0.32156352629871215,0.5022186360081713,0.5348255059598924,0.7128849901760472,0.23571450218210183,0.2665035580301125,0.47766974520473016,0.5473583172141241,0.39805479710041974,0.4956948449813908,0.3348244254884907,0.550962939976283,0.48197260927593427,0.44033167293794173,0.279638260085636,0.5401508623836687,0.32411117513497345,0.4406333466085076,0.4461411441519163,0.45035109039567406"
70,"0.1493568995266863,0.6097739144157258,0.37540924901152417,0.17526056969261905,0.3467267787559781,0.2640636922755545,0.7510356822322889,0.293091008010296,0.13734430305009737,0.17642369885822162,0.9034167330010046,0.40738887724583306,0.26961615599658406,0.8631164661945863,0.2521311023437164,0.10481812111484501,0.27281433314784587,0.04495886326680287,0.022970571060758282,0.983959867338311"
71,"0.46189611789016083,-0.055853160697865785,0.17780725937531341,1.0955594221260545,0.6021327185704927,0.47903224599231065,0.5646963571244077,1.3659234487308485,0.16236210151207667,-0.1971728307697842,0.9366476019514678,0.05189084568847657,0.9316380750256898,0.7228751746038763,-0.13587406891065099,0.25012339381457427,0.45054312907675714,-0.14815873087262704,-0.0014875143711234897,1.0829849647347205"
72,"0.1318191048347442,0.4165878172966765,0.24911788272576071,0.2626417937368498,0.5223657970725633,0.07415232564909484,0.4846528922322553,-0.08776735422821234,0.6126957104692388,0.32336076267550107,0.2215430247352757,0.6714061059926726,0.3575457712033865,0.735509562637109,0.26261257636346114,0.6346137000059716,0.5268072574712653,0.3498665485976164,0.16660167384138247,0.34226094613569413"
73,"0.4949035044644406,0.42856202604962723,0.4750097335850421,0.3655577822287111,0.25834648414248174,0.3827770256344689,0.444009659392628,0.3728771143282693,0.2987780217858245,0.39251032627805615,0.3153695079986048,0.4760816589103684,0.18975216824604654,0.29945400546008094,0.43128307429154233,0.4853581381229333,0.23321233609169348,0.35869242175080357,0.35063254163198526,0.2938500276879568"
74,"0.3337410877657752,0.4455257381491622,0.4270121053351163,0.5933296059131332,0.5796490422322171,0.47791498769947993,0.4771227008493498,0.625902694314224,0.4885185872350492,0.4335640930416581,0.21006922005603054,0.5909307616776723,0.8432392042983603,0.2769548801534543,0.5466243847848575,0.4028377624690128,0.5123408381830379,0.5856914591574365,0.2857536849855028,0.3341815437324364"
75,"0.6885705062867733,0.7421448857381906,0.1522664543104385,0.39128227165161966,0.44499529404925187,0.5733632411138271,0.5947348891233696,0.27057867759771104,0.6252814523310058,0.32088525031477366,0.5051340491304481,0.5513694927438981,0.25582487523508635,0.556624126265844,0.6247223948551169,0.00788986524136559,0.24427377566172426,0.6354667029693108,0.6493416348728335,0.017787854733880448"
